2022-11-14-20:40:52.519,1,6.55,16.70,18.24,6.17,23.57,17.25,11.04,16.51,12.93
2022-11-14-20:40:53.534,1,6.58,16.70,18.27,6.17,23.52,17.19,11.03,16.53,12.91
2022-11-14-20:40:54.559,1,6.53,16.72,18.29,6.17,23.64,17.24,11.04,16.51,12.99
2022-11-14-20:40:55.557,1,6.60,16.72,18.29,6.17,23.61,17.29,11.06,16.53,12.97
2022-11-14-20:40:56.569,1,6.60,16.72,18.31,6.17,23.64,17.27,11.04,16.56,12.92
2022-11-14-20:40:57.582,1,6.60,16.74,18.29,6.17,23.62,17.22,11.04,16.60,12.89
2022-11-14-20:40:58.595,1,6.38,16.59,18.06,6.02,23.42,17.29,11.12,16.67,12.93
2022-11-14-20:40:59.612,1,6.60,16.70,18.33,6.17,23.60,17.25,11.02,16.64,12.94
2022-11-14-20:41:0.621,1,6.60,16.70,18.31,6.17,23.47,17.23,11.04,16.56,12.91
2022-11-14-20:41:1.632,1,6.63,16.72,18.27,6.14,23.53,17.17,11.04,16.63,12.95
2022-11-14-20:41:2.647,1,6.63,16.70,18.24,6.14,23.59,17.26,11.06,16.47,12.98
2022-11-14-20:41:3.658,1,6.60,16.72,18.22,6.17,23.54,17.24,11.06,16.51,12.84
2022-11-14-20:41:4.688,1,6.60,16.77,18.20,6.17,23.50,17.27,11.01,16.48,12.86
2022-11-14-20:41:5.746,1,6.60,16.74,18.17,6.17,23.53,17.21,11.03,16.53,12.75
2022-11-14-20:41:6.722,1,6.65,16.84,18.22,6.19,23.60,17.28,11.11,16.53,12.91
2022-11-14-20:41:7.708,1,6.41,16.59,18.04,6.07,23.16,17.01,10.93,16.52,12.93
2022-11-14-20:41:8.722,1,6.65,16.84,18.24,6.19,23.64,17.21,11.15,16.56,12.90
2022-11-14-20:41:9.734,1,6.65,16.86,18.24,6.17,23.55,17.20,11.15,16.53,12.81
2022-11-14-20:41:10.747,1,6.67,16.84,18.27,6.17,23.49,17.29,11.12,16.52,12.98
2022-11-14-20:41:11.761,1,6.70,16.84,18.29,6.17,23.58,17.27,11.12,16.57,13.04
